LATITUDE,LONGITUDE,geometry
-23.5562160449999,-46.6330980900714,POINT (333315.7396105099 7393955.5681327)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.550556162,-46.634342547,POINT (333181.5527167829 7394580.886358188)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5523876,-46.6257429,POINT (334061.7864255626 7394388.058950903)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.555817859999905,-46.62955658,POINT (333676.7739384408 7394003.77741268)
-23.552335402,-46.6275224,POINT (333880.0552593642 7394391.77782449)
-23.5479461,-46.6299711,POINT (333624.5457819357 7394875.000794098)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5596324,-46.6349487,POINT (333131.1355008455 7393575.092378536)
-23.5524268,-46.6291179,POINT (333717.288774408 7394379.806377523)
-23.5520634,-46.6342252,POINT (333195.4353808404 7394414.11387115)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5424095,-46.6289541,POINT (333721.407672446 7395489.293239564)
-23.5515708857868,-46.6280149455573,POINT (333828.8107601928 7394475.867940439)
-23.5434629,-46.6326939,POINT (333340.917819637 7395368.299549423)
-23.5364198,-46.6333092,POINT (333269.2164886852 7396147.524201127)
-23.5503315575,-46.6342345315,POINT (333192.2964470341 7394605.88439977)
-23.5480891,-46.627439,POINT (333883.2313542725 7394862.101842299)
-23.5406494,-46.6284347,POINT (333772.2229937096 7395684.805469288)
-23.5534591626229,-46.627854585918,POINT (333847.5562470757 7394266.949602343)
-23.5377779249999,-46.63044394,POINT (333563.4705136348 7396000.456320205)
-23.5565802,-46.6341828,POINT (333205.4665202586 7393913.98004112)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.552565184048895,-46.626854138061695,POINT (333948.5655846823 7394367.106599888)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5529001,-46.6254651,POINT (334090.789999997 7394331.627313241)
-23.559947366,-46.631224515,POINT (333511.7069651363 7393544.545942569)
-23.5519713,-46.6361555,POINT (332998.2575096871 7394422.065001098)
-23.54502538,-46.6310911269999,POINT (333506.5211536227 7395197.135591119)
-23.5448838916211,-46.6305527345548,POINT (333561.3095187359 7395213.428901279)
-23.5582522287641,-46.6328924350574,POINT (333339.3029573471 7393730.323635877)
-23.549457159320905,-46.6386674766722,POINT (332738.6307321087 7394697.547983471)
-23.55795,-46.6288048,POINT (333756.2029973862 7393768.540366156)
-23.5583037,-46.627463,POINT (333893.6237157341 7393730.928373166)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.5560808065882,-46.6322543127647,POINT (333401.7062466374 7393971.525429065)
-23.5406494,-46.6284347,POINT (333772.2229937096 7395684.805469288)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5506469,-46.6252258,POINT (334112.39071509 7394581.419224523)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.5520089179347,-46.6276318545786,POINT (333868.4707501116 7394427.805186106)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.5525345010662,-46.626866642319,POINT (333947.2504903128 7394370.489887446)
-23.5534753394465,-46.6294502263356,POINT (333684.6821337403 7394263.307402568)
-23.5511084469999,-46.6381612869999,POINT (332792.397501386 7394515.277460705)
-23.5502315,-46.6264934,POINT (333982.4604322199 7394625.952161402)
-23.552639461,-46.627448564,POINT (333887.9753029841 7394358.192482717)
-23.5379911,-46.6327505,POINT (333328.2407653661 7395974.170828681)
-23.550187369409105,-46.636327518803,POINT (332978.4414184077 7394619.414229684)
-23.5517084,-46.6347904,POINT (333137.2866444922 7394452.768083925)
-23.5593019,-46.6352758,POINT (333097.3266318715 7393611.310462407)
-23.5561959424,-46.6352341469999,POINT (333097.6542668195 7393955.30799929)
-23.5406494,-46.6284347,POINT (333772.2229937096 7395684.805469288)
-23.5486657471515,-46.62964462296969,POINT (333658.7821458945 7394795.687291216)
-23.5546675001999,-46.63249960490911,POINT (333374.882947068 7394127.747444028)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.5450014,-46.6263379,POINT (333991.7657227824 7395205.303128242)
-23.553417017,-46.6255995729999,POINT (334077.7111436072 7394274.229254812)
-23.5568951376104,-46.629654444935,POINT (333668.1397869134 7393884.367985833)
-23.5533545422273,-46.6333086637614,POINT (333290.6322850634 7394272.20132299)
-23.5447106,-46.6308658,POINT (333529.1291853537 7395232.255406525)
-23.550556162,-46.634342547,POINT (333181.5527167829 7394580.886358188)
-23.5599085157789,-46.6348694544842,POINT (333139.5739201629 7393544.608023972)
-23.5404035,-46.6291228,POINT (333701.6606448609 7395711.238081398)
-23.5577168,-46.6366963,POINT (332950.3131564276 7393785.186726741)
-23.5369102247574,-46.6330614715235,POINT (333295.1280111296 7396093.503470501)
-23.549477841999895,-46.6300828189999,POINT (333615.0687952643 7394705.248824213)
-23.5577168,-46.6366963,POINT (332950.3131564276 7393785.186726741)
-23.5527275974676,-46.6266231578752,POINT (333972.3499398676 7394349.388843118)
-23.556827252725295,-46.6300893657106,POINT (333623.6555757347 7393891.380535102)
-23.550042542709505,-46.6343365644664,POINT (333181.5150563358 7394637.770672123)
-23.5484507,-46.6261377,POINT (334016.5369292448 7394823.566382647)
-23.5415222,-46.6320666,POINT (333402.5162060936 7395583.938139886)
-23.551131598983496,-46.6284447261967,POINT (333784.3824362793 7394524.015394203)
-23.5578258373548,-46.635075537516094,POINT (333115.9051027122 7393775.000663309)
-23.541819,-46.629386,POINT (333676.5695411011 7395554.183112884)
-23.5556225,-46.6353464,POINT (333085.4703334966 7394018.679379763)
-23.5541434977209,-46.6352819434775,POINT (333090.1818454326 7394182.53686402)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5598263738127,-46.637905822884,POINT (332829.509907964 7393550.16489479)
-23.5524093,-46.6374665,POINT (332864.9733500362 7394372.03334167)
-23.5540610408115,-46.635363754217295,POINT (333081.7258610657 7394191.572728436)
-23.5575266832,-46.6351079642,POINT (333112.2168997616 7393808.090770991)
-23.5541434977209,-46.6352819434775,POINT (333090.1818454326 7394182.53686402)
-23.5539785,-46.6310649,POINT (333520.4785616945 7394205.71354108)
-23.5523225,-46.6379536,POINT (332815.136289381 7394381.077323453)
-23.552944364509,-46.626310636882096,POINT (334004.5268274776 7394325.746479945)
-23.5415958237411,-46.6299945274352,POINT (333614.1602735826 7395578.191197682)
-23.5519317,-46.6256609,POINT (334069.5851041995 7394438.639362465)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5406494,-46.6284347,POINT (333772.2229937096 7395684.805469288)
-23.5583201035294,-46.6349093580784,POINT (333133.4937699155 7393720.459915982)
-23.5569803,-46.6343707,POINT (333186.7899960753 7393869.454870468)
-23.5475407,-46.6309711,POINT (333521.9435592388 7394918.73305089)
-23.553640736826,-46.6351540357391,POINT (333102.6044344286 7394238.360777671)
-23.5509782,-46.6282477,POINT (333804.3037023133 7394541.230983699)
-23.552117162999895,-46.634940743,POINT (333122.454575681 7394407.327285974)
-23.557034386730695,-46.6329339757692,POINT (333333.5257412193 7393865.137184318)
-23.5533752278688,-46.6278119007541,POINT (333851.808302533 7394276.293867255)
-23.5577143255333,-46.6350891648666,POINT (333114.3730830043 7393787.33344084)
-23.5520089179347,-46.6276318545786,POINT (333868.4707501116 7394427.805186106)
-23.5570087,-46.6360675,POINT (333013.6085541748 7393864.333583008)
-23.559617,-46.6350251,POINT (333123.3169289314 7393576.708770966)
-23.557744357120505,-46.635686553997694,POINT (333053.4270758535 7393783.311902493)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5545509,-46.6352826,POINT (333090.6295270529 7394137.421008402)
-23.5602658860194,-46.638143941464,POINT (332805.7585127121 7393501.216074383)
-23.5527799649276,-46.6267666082603,POINT (333957.7712298579 7394343.423584327)
-23.5522073,-46.6256242,POINT (334073.6778414805 7394408.162446223)
-23.547376377,-46.631962186,POINT (333420.55459941 7394935.778544473)
-23.5496652,-46.6258742,POINT (334044.9631189458 7394689.380158408)
-23.5494343309999,-46.6289711979999,POINT (333728.4997893756 7394711.357063526)
-23.5519086511173,-46.6310379665888,POINT (333520.6200459681 7394434.956285328)
-23.5518562,-46.6357743,POINT (333037.0282448322 7394435.255119128)
-23.5405961,-46.628152,POINT (333801.0188369505 7395691.035503257)
-23.5470058,-46.6330267,POINT (333311.4087878169 7394975.578177964)
-23.552565184048895,-46.626854138061695,POINT (333948.5655846823 7394367.106599888)
-23.540559998,-46.628155641,POINT (333800.6017148308 7395695.029145854)
-23.5448408,-46.6304858299999,POINT (333568.0858054486 7395218.278457858)
-23.5596324,-46.6349487,POINT (333131.1355008455 7393575.092378536)
-23.54502538,-46.6310911269999,POINT (333506.5211536227 7395197.135591119)
-23.550937527,-46.639812438,POINT (332623.6160009972 7394532.277681918)
-23.5406494,-46.6284347,POINT (333772.2229937096 7395684.805469288)
-23.5406494,-46.6284347,POINT (333772.2229937096 7395684.805469288)
-23.5548847,-46.6352006,POINT (333099.422329178 7394100.55201972)
-23.5416473951176,-46.6300155375294,POINT (333612.0801289731 7395572.455902178)
-23.537865413,-46.633016755,POINT (333300.8978464428 7395987.779691778)
-23.5511670776036,-46.6249951780715,POINT (334136.5876904519 7394524.082690727)
-23.5567341,-46.6341371,POINT (333210.3261200368 7393896.99059088)
-23.551201401,-46.634046855,POINT (333212.5542607092 7394509.777773847)
-23.544409173,-46.634183578,POINT (333190.0231863193 7395261.778504843)
-23.5525345010662,-46.626866642319,POINT (333947.2504903128 7394370.489887446)
-23.5502315,-46.6264934,POINT (333982.4604322199 7394625.952161402)
-23.5448408,-46.6304858299999,POINT (333568.0858054486 7395218.278457858)
-23.5520696519999,-46.636045871,POINT (333009.573685318 7394411.301391002)
-23.5361848,-46.6329869,POINT (333301.827230226 7396173.922323922)
-23.5405188,-46.633639,POINT (333240.7138133139 7395693.224998107)
-23.552639461,-46.627448564,POINT (333887.9753029841 7394358.192482717)
-23.543811628,-46.6265772359999,POINT (333965.83650455 7395336.778914025)
-23.5561018,-46.6280177,POINT (333834.2282546445 7393974.119667751)
-23.5464390459999,-46.6266166089999,POINT (333965.1173288649 7395045.778333616)
-23.552565184048895,-46.626854138061695,POINT (333948.5655846823 7394367.106599888)
-23.5514003647097,-46.624923021911,POINT (334144.2468552737 7394498.332440816)
-23.544013615836,-46.63012266998209,POINT (333604.1209072229 7395310.300814084)
-23.555475441999896,-46.635936397,POINT (333025.0541565839 7394034.277023911)
-23.5408432798935,-46.6307793618929,POINT (333533.0838395007 7395660.615507951)
-23.5564207,-46.6293912,POINT (333694.4157473454 7393937.211912604)
